"page_number","taxon"
"1","Emperor Goose"
"2","Snow Goose"
"3","Ross's Goose"
"4","Snow x Ross's Goose (hybrid)"
"5","Snow/Ross's Goose"
"6","Graylag Goose (Domestic type)"
"7","Graylag x Swan Goose (Domestic type) (hybrid)"
"8","Greater White-fronted Goose"
"9","Greater White-fronted Goose (Western)"
"10","Greater White-fronted Goose (Tule)"
"11","Snow x Greater White-fronted Goose (hybrid)"
"12","Taiga Bean-Goose"
"13","Domestic goose sp. (Domestic type)"
"14","Brant"
"15","Brant (Black)"
"16","Brant (Gray-bellied)"
"17","Cackling Goose"
"18","Cackling Goose (Aleutian)"
"19","Cackling Goose (Richardson's)"
"20","Cackling Goose (minima)"
"21","Cackling Goose (Taverner's)"
"22","Greater White-fronted x Cackling Goose (hybrid)"
"23","Canada Goose"
"24","Canada Goose (moffitti/maxima)"
"25","Canada Goose (occidentalis/fulva)"
"26","Canada Goose (canadensis Group)"
"27","Swan Goose (Domestic type) x Canada Goose (hybrid)"
"28","Greater White-fronted x Canada Goose (hybrid)"
"29","Graylag x Canada Goose (hybrid)"
"30","Graylag Goose (Domestic type) x Canada Goose (hybrid)"
"31","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)"
"32","Snow x Canada Goose (hybrid)"
"33","Cackling/Canada Goose"
"34","goose sp."
"35","Mute Swan"
"36","Trumpeter Swan"
"37","Tundra Swan"
"38","Tundra Swan (Whistling)"
"39","Tundra Swan (Bewick's)"
"40","Trumpeter x Tundra Swan (hybrid)"
"41","Trumpeter/Tundra Swan"
"42","Whooper Swan"
"43","swan sp."
"44","Muscovy Duck (Domestic type)"
"45","Wood Duck"
"46","Baikal Teal"
"47","Garganey"
"48","Blue-winged Teal"
"49","Cinnamon Teal"
"50","Blue-winged x Cinnamon Teal (hybrid)"
"51","Blue-winged/Cinnamon Teal"
"52","Northern Shoveler"
"53","Blue-winged Teal x Northern Shoveler (hybrid)"
"54","Cinnamon Teal x Northern Shoveler (hybrid)"
"55","Gadwall"
"56","Falcated Duck"
"57","Eurasian Wigeon"
"58","American Wigeon"
"59","Gadwall x American Wigeon (hybrid)"
"60","Eurasian x American Wigeon (hybrid)"
"61","Eurasian/American Wigeon"
"62","Mallard"
"63","Mallard (Domestic type)"
"64","Muscovy Duck x Mallard (hybrid)"
"65","Gadwall x Mallard (hybrid)"
"66","American Wigeon x Mallard (hybrid)"
"67","American Black Duck"
"68","Mallard x American Black Duck (hybrid)"
"69","Northern Pintail"
"70","American Wigeon x Northern Pintail (hybrid)"
"71","Mallard x Northern Pintail (hybrid)"
"72","Green-winged Teal"
"73","Green-winged Teal (Eurasian)"
"74","Green-winged Teal (American)"
"75","Green-winged Teal (intergrade)"
"76","American Wigeon x Green-winged Teal (hybrid)"
"77","teal sp."
"78","dabbling duck sp."
"79","Canvasback"
"80","Redhead"
"81","Ring-necked Duck"
"82","Redhead x Ring-necked Duck (hybrid)"
"83","Tufted Duck"
"84","Greater Scaup"
"85","Lesser Scaup"
"86","Ring-necked Duck x Lesser Scaup (hybrid)"
"87","Greater/Lesser Scaup"
"88","Tufted Duck x scaup sp. (hybrid)"
"89","Aythya sp."
"90","Steller's Eider"
"91","King Eider"
"92","Common Eider"
"93","Harlequin Duck"
"94","Surf Scoter"
"95","White-winged Scoter"
"96","White-winged Scoter (North American)"
"97","Black Scoter"
"98","Surf/Black Scoter"
"99","scoter sp."
"100","Long-tailed Duck"
"101","Bufflehead"
"102","Common Goldeneye"
"103","Bufflehead x Common Goldeneye (hybrid)"
"104","Barrow's Goldeneye"
"105","Common x Barrow's Goldeneye (hybrid)"
"106","Common/Barrow's Goldeneye"
"107","Smew"
"108","Hooded Merganser"
"109","Bufflehead x Hooded Merganser (hybrid)"
"110","Common Goldeneye x Hooded Merganser (hybrid)"
"111","Barrow's Goldeneye x Hooded Merganser (hybrid)"
"112","goldeneye sp. x Hooded Merganser (hybrid)"
"113","Common Merganser"
"114","Common Merganser (North American)"
"115","Red-breasted Merganser"
"116","Common/Red-breasted Merganser"
"117","Ruddy Duck"
"118","duck sp."
"119","waterfowl sp."
"120","Mountain Quail"
"121","Northern Bobwhite"
"122","Scaled Quail"
"123","California Quail"
"124","Chukar"
"125","Ring-necked Pheasant"
"126","Ring-necked Pheasant (Ring-necked)"
"127","Gray Partridge"
"128","Ruffed Grouse"
"129","Greater Sage-Grouse"
"130","Spruce Grouse"
"131","Spruce Grouse (Franklin's)"
"132","White-tailed Ptarmigan"
"133","Dusky Grouse"
"134","Sooty Grouse"
"135","Dusky/Sooty Grouse"
"136","Sharp-tailed Grouse"
"137","grouse sp."
"138","Wild Turkey"
"139","Pied-billed Grebe"
"140","Horned Grebe"
"141","Red-necked Grebe"
"142","Eared Grebe"
"143","Horned/Eared Grebe"
"144","Western Grebe"
"145","Clark's Grebe"
"146","Western x Clark's Grebe (hybrid)"
"147","Western/Clark's Grebe"
"148","grebe sp."
"149","Rock Pigeon (Feral Pigeon)"
"150","Band-tailed Pigeon"
"151","Rock/Band-tailed Pigeon"
"152","Eurasian Collared-Dove"
"153","African Collared-Dove"
"154","African Collared-Dove (Domestic type or Ringed Turtle-Dove)"
"155","Eurasian x African Collared-Dove (hybrid)"
"156","Eurasian/African Collared-Dove"
"157","White-winged Dove"
"158","Mourning Dove"
"159","pigeon/dove sp."
"160","Yellow-billed Cuckoo"
"161","Black-billed Cuckoo"
"162","Common Nighthawk"
"163","nighthawk sp."
"164","Common Poorwill"
"165","Black Swift"
"166","Vaux's Swift"
"167","White-throated Swift"
"168","swift sp."
"169","Black-chinned Hummingbird"
"170","Anna's Hummingbird"
"171","Black-chinned x Anna's Hummingbird (hybrid)"
"172","Costa's Hummingbird"
"173","Broad-tailed Hummingbird"
"174","Rufous Hummingbird"
"175","Black-chinned x Rufous Hummingbird (hybrid)"
"176","Anna's x Rufous Hummingbird (hybrid)"
"177","Rufous/Allen's Hummingbird"
"178","Calliope Hummingbird"
"179","Black-chinned x Calliope Hummingbird (hybrid)"
"180","Selasphorus sp."
"181","hummingbird sp."
"182","Virginia Rail"
"183","Virginia Rail (Virginia)"
"184","Sora"
"185","American Coot"
"186","American Coot (Red-shielded)"
"187","Yellow Rail"
"188","rail/crake sp."
"189","Sandhill Crane"
"190","Black-necked Stilt"
"191","Black-necked Stilt (Black-necked)"
"192","American Avocet"
"193","Black Oystercatcher"
"194","Black-bellied Plover"
"195","American Golden-Plover"
"196","Pacific Golden-Plover"
"197","American/Pacific Golden-Plover (Lesser Golden-Plover)"
"198","Black-bellied Plover/golden-plover sp."
"199","Lesser Sand-Plover"
"200","Snowy Plover"
"201","Wilson's Plover"
"202","Common Ringed Plover"
"203","Semipalmated Plover"
"204","Piping Plover"
"205","Killdeer"
"206","Mountain Plover"
"207","Eurasian Dotterel"
"208","Upland Sandpiper"
"209","Bristle-thighed Curlew"
"210","Whimbrel"
"211","Whimbrel (Siberian)"
"212","Whimbrel (Hudsonian)"
"213","Little Curlew"
"214","Long-billed Curlew"
"215","Bar-tailed Godwit"
"216","Bar-tailed Godwit (Siberian)"
"217","Hudsonian Godwit"
"218","Marbled Godwit"
"219","godwit sp."
"220","Ruddy Turnstone"
"221","Black Turnstone"
"222","Great Knot"
"223","Red Knot"
"224","Surfbird"
"225","Ruff"
"226","Sharp-tailed Sandpiper"
"227","Stilt Sandpiper"
"228","Curlew Sandpiper"
"229","Temminck's Stint"
"230","Red-necked Stint"
"231","Sanderling"
"232","Dunlin"
"233","Dunlin (pacifica/arcticola)"
"234","Rock Sandpiper"
"235","Rock Sandpiper (ptilocnemis)"
"236","Rock Sandpiper (quarta/tschuktschorum/couesi)"
"237","Rock Sandpiper (couesi)"
"238","Baird's Sandpiper"
"239","Little Stint"
"240","Least Sandpiper"
"241","White-rumped Sandpiper"
"242","Buff-breasted Sandpiper"
"243","Pectoral Sandpiper"
"244","Semipalmated Sandpiper"
"245","Western Sandpiper"
"246","Semipalmated/Western Sandpiper"
"247","peep sp."
"248","Calidris sp."
"249","Short-billed Dowitcher"
"250","Short-billed Dowitcher (hendersoni)"
"251","Short-billed Dowitcher (caurinus)"
"252","Long-billed Dowitcher"
"253","Short-billed/Long-billed Dowitcher"
"254","Jack Snipe"
"255","Wilson's Snipe"
"256","Wilson's Phalarope"
"257","Red-necked Phalarope"
"258","Red Phalarope"
"259","Red-necked/Red Phalarope"
"260","phalarope sp."
"261","Spotted Sandpiper"
"262","Solitary Sandpiper"
"263","Solitary Sandpiper (solitaria)"
"264","Solitary Sandpiper (cinnamomea)"
"265","Gray-tailed Tattler"
"266","Wandering Tattler"
"267","Spotted Redshank"
"268","Greater Yellowlegs"
"269","Willet"
"270","Willet (Western)"
"271","Lesser Yellowlegs"
"272","Greater/Lesser Yellowlegs"
"273","Wood Sandpiper"
"274","Tringa sp."
"275","Scolopacidae sp."
"276","shorebird sp."
"277","South Polar Skua"
"278","Pomarine Jaeger"
"279","Parasitic Jaeger"
"280","Pomarine/Parasitic Jaeger"
"281","Long-tailed Jaeger"
"282","Pomarine/Long-tailed Jaeger"
"283","Parasitic/Long-tailed Jaeger"
"284","jaeger sp."
"285","Common Murre"
"286","Thick-billed Murre"
"287","large alcid sp."
"288","Pigeon Guillemot"
"289","Long-billed Murrelet"
"290","Marbled Murrelet"
"291","Kittlitz's Murrelet"
"292","Scripps's Murrelet"
"293","Guadalupe Murrelet"
"294","Scripps's/Guadalupe Murrelet (Xantus's Murrelet)"
"295","Scripps's/Craveri's Murrelet"
"296","Scripps's/Guadalupe/Craveri's Murrelet"
"297","Ancient Murrelet"
"298","murrelet sp."
"299","Cassin's Auklet"
"300","Parakeet Auklet"
"301","Whiskered Auklet"
"302","Rhinoceros Auklet"
"303","auklet sp."
"304","Horned Puffin"
"305","Tufted Puffin"
"306","alcid sp."
"307","Swallow-tailed Gull"
"308","Black-legged Kittiwake"
"309","Red-legged Kittiwake"
"310","Ivory Gull"
"311","Sabine's Gull"
"312","Bonaparte's Gull"
"313","Black-headed Gull"
"314","Little Gull"
"315","Ross's Gull"
"316","Laughing Gull"
"317","Franklin's Gull"
"318","Black-tailed Gull"
"319","Heermann's Gull"
"320","Mew Gull"
"321","Mew Gull (Kamchatka)"
"322","Mew Gull (American)"
"323","Ring-billed Gull"
"324","Western Gull"
"325","California Gull"
"326","Herring Gull"
"327","Herring Gull (American)"
"328","Herring Gull (Vega)"
"329","Iceland Gull"
"330","Iceland Gull (Thayer's)"
"331","Iceland Gull (kumlieni)"
"332","Iceland Gull (glaucoides/kumlieni)"
"333","Herring/Iceland Gull"
"334","Lesser Black-backed Gull"
"335","Slaty-backed Gull"
"336","Glaucous-winged Gull"
"337","Western x Glaucous-winged Gull (hybrid)"
"338","Herring x Glaucous-winged Gull (hybrid)"
"339","Herring/Glaucous-winged Gull"
"340","Western/Glaucous-winged Gull"
"341","Glaucous Gull"
"342","Herring x Glaucous Gull (hybrid)"
"343","Glaucous-winged x Glaucous Gull (hybrid)"
"344","white-winged gull sp."
"345","Great Black-backed Gull"
"346","Larus sp."
"347","gull sp."
"348","Least Tern"
"349","Caspian Tern"
"350","Black Tern"
"351","Common Tern"
"352","Arctic Tern"
"353","Common/Arctic Tern"
"354","Forster's Tern"
"355","Common/Forster's Tern"
"356","Sterna sp."
"357","Elegant Tern"
"358","tern sp."
"359","Red-billed Tropicbird"
"360","Red-throated Loon"
"361","Arctic Loon"
"362","Pacific Loon"
"363","Common Loon"
"364","Yellow-billed Loon"
"365","loon sp."
"366","White-capped Albatross"
"367","Laysan Albatross"
"368","Black-footed Albatross"
"369","Short-tailed Albatross"
"370","albatross sp."
"371","Wilson's Storm-Petrel"
"372","Fork-tailed Storm-Petrel"
"373","Leach's Storm-Petrel"
"374","Leach's Storm-Petrel (Leach's)"
"375","Ashy Storm-Petrel"
"376","storm-petrel sp."
"377","Northern Fulmar"
"378","Murphy's Petrel"
"379","Mottled Petrel"
"380","Hawaiian Petrel"
"381","Cook's Petrel"
"382","Cookilaria petrel sp."
"383","Pterodroma sp."
"384","Pink-footed Shearwater"
"385","Flesh-footed Shearwater"
"386","Great Shearwater"
"387","Wedge-tailed Shearwater"
"388","Buller's Shearwater"
"389","Sooty Shearwater"
"390","Short-tailed Shearwater"
"391","Sooty/Short-tailed Shearwater"
"392","Manx Shearwater"
"393","shearwater sp."
"394","Procellariid sp."
"395","Magnificent Frigatebird"
"396","Blue-footed Booby"
"397","Brown Booby"
"398","Brown Booby (Brewster's)"
"399","Brandt's Cormorant"
"400","Red-faced Cormorant"
"401","Pelagic Cormorant"
"402","Double-crested Cormorant"
"403","cormorant sp."
"404","American White Pelican"
"405","Brown Pelican"
"406","American Bittern"
"407","Great Blue Heron"
"408","Great Blue Heron (Blue form)"
"409","Great Egret"
"410","Snowy Egret"
"411","Little Blue Heron"
"412","Cattle Egret"
"413","Cattle Egret (Western)"
"414","Green Heron"
"415","Black-crowned Night-Heron"
"416","Yellow-crowned Night-Heron"
"417","White Ibis"
"418","Glossy Ibis"
"419","White-faced Ibis"
"420","Glossy/White-faced Ibis"
"421","Turkey Vulture"
"422","Osprey"
"423","Osprey (carolinensis)"
"424","White-tailed Kite"
"425","Golden Eagle"
"426","Northern Harrier"
"427","Sharp-shinned Hawk"
"428","Sharp-shinned Hawk (Northern)"
"429","Cooper's Hawk"
"430","Sharp-shinned/Cooper's Hawk"
"431","Northern Goshawk"
"432","Cooper's Hawk/Northern Goshawk"
"433","Accipiter sp."
"434","Bald Eagle"
"435","Golden/Bald Eagle"
"436","Red-shouldered Hawk"
"437","Red-shouldered Hawk (elegans)"
"438","Broad-winged Hawk"
"439","Swainson's Hawk"
"440","Zone-tailed Hawk"
"441","Red-tailed Hawk"
"442","Red-tailed Hawk (calurus/alascensis)"
"443","Red-tailed Hawk (Harlan's)"
"444","Rough-legged Hawk"
"445","Ferruginous Hawk"
"446","Buteo sp."
"447","hawk sp."
"448","eagle sp."
"449","Barn Owl"
"450","Barn Owl (American)"
"451","Flammulated Owl"
"452","Western Screech-Owl"
"453","Great Horned Owl"
"454","Great Horned Owl (Great Horned)"
"455","Snowy Owl"
"456","Northern Hawk Owl"
"457","Northern Pygmy-Owl"
"458","Northern Pygmy-Owl (Pacific)"
"459","Burrowing Owl"
"460","Spotted Owl"
"461","Barred Owl"
"462","Barred Owl (Northern)"
"463","Spotted x Barred Owl (hybrid)"
"464","Great Gray Owl"
"465","Long-eared Owl"
"466","Short-eared Owl"
"467","Short-eared Owl (Northern)"
"468","Long-eared/Short-eared Owl"
